Surikiuoti dideli objektai;
Miestas;Rajonas;Gatvė;Nr;Tipas;Metai;Plotas;Kambariai;Papildoma
Klaipėda;Giruliai;Vasaros g.;22;Wooden;2005;280,00;7;Electricity
Kaunas;Žaliakalnis;Vaisių g.;8;Brick;2022;250,00;6;Geothermal
Vilnius;Pavilnys;Slyvų g.;12;Log;2010;210,00;5;Gas
Vilnius;Pavilnys;Slyvų g.;12;Log;2010;210,00;5;Gas
Vilnius;Senamiestis;Gedimino pr.;1;Brick;1940;120,50;4;2
Vilnius;Senamiestis;Gedimino pr.;1;Brick;1940;120,50;4;2
Vilnius;Senamiestis;Gedimino pr.;1;Brick;1940;120,50;4;2
Klaipėda;Senamiestis;Tiltų g.;10;Brick;1920;115,00;4;3
Klaipėda;Melnragė;Audros g.;5;Monolith;2018;105,00;3;5
Vilnius;Senamiestis;Vokiečių g.;10;Brick;1900;95,00;3;3
